key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
Gender Development Index (value) (2002),0.958
Gender Development Index (value) (2003),0.959
Gender Development Index (value) (2004),0.958
Gender Development Index (value) (2005),0.959
Gender Development Index (value) (2006),0.961
Gender Development Index (value) (2007),0.962
Gender Development Index (value) (2008),0.962
Gender Development Index (value) (2009),0.964
Gender Development Index (value) (2010),0.964
Gender Development Index (value) (2011),0.966
Gender Development Index (value) (2012),0.962
Gender Development Index (value) (2013),0.962
Gender Development Index (value) (2014),0.961
Gender Development Index (value) (2015),0.964
Gender Development Index (value) (2016),0.966
Gender Development Index (value) (2017),0.967
Gender Development Index (value) (2018),0.971
Gender Development Index (value) (2019),0.971
Gender Development Index (value) (2020),0.972
Gender Development Index (value) (2021),0.972
Gender Development Index (value) (2022),0.98
Gender Development Index (value) (2023),0.977
HDI female (1990),0.847824612
HDI female (1991),0.848672195
HDI female (1992),0.848847156
HDI female (1993),0.853198984
HDI female (1994),0.854514473
HDI female (1995),0.863638942
HDI female (1996),0.866156854
HDI female (1997),0.868846679
HDI female (1998),0.873318878
HDI female (1999),0.876016007
HDI female (2000),0.879718652
HDI female (2001),0.877166344
HDI female (2002),0.880265172
HDI female (2003),0.884005078
HDI female (2004),0.88748644
HDI female (2005),0.891642067
HDI female (2006),0.896527076
HDI female (2007),0.898570832
HDI female (2008),0.903543575
HDI female (2009),0.907635941
HDI female (2010),0.909280921
HDI female (2011),0.914126094
HDI female (2012),0.916558029
HDI female (2013),0.91453818
HDI female (2014),0.915717795
HDI female (2015),0.918389965
HDI female (2016),0.920946707
HDI female (2017),0.922332469
HDI female (2018),0.929274115
HDI female (2019),0.931543966
HDI female (2020),0.934919601
HDI female (2021),0.939137318
HDI female (2022),0.941820041
HDI female (2023),0.946137676
"Life Expectancy at Birth, female (years) (1990)",80.147
"Life Expectancy at Birth, female (years) (1991)",80.491
"Life Expectancy at Birth, female (years) (1992)",80.486
"Life Expectancy at Birth, female (years) (1993)",80.99
"Life Expectancy at Birth, female (years) (1994)",80.821
"Life Expectancy at Birth, female (years) (1995)",81.129
"Life Expectancy at Birth, female (years) (1996)",81.253
"Life Expectancy at Birth, female (years) (1997)",81.383
"Life Expectancy at Birth, female (years) (1998)",81.857
"Life Expectancy at Birth, female (years) (1999)",82.043
"Life Expectancy at Birth, female (years) (2000)",82.272
"Life Expectancy at Birth, female (years) (2001)",82.601
"Life Expectancy at Birth, female (years) (2002)",82.531
"Life Expectancy at Birth, female (years) (2003)",82.907
"Life Expectancy at Birth, female (years) (2004)",83.166
"Life Expectancy at Birth, female (years) (2005)",83.474
